position,rank,name,lastName,uri,imageUri,worth,worthChange,age,source,industry,gender,country,title,timestamp,archivedWorth
893,893,Sit Kwong Lam,Sit,sit-kwong-lam,sit-kwong-lam,2162.161,-104.512,47,"oil, transportation",Energy,M,Hong Kong,,1448641501521,1550
894,894,Bill Haslam,Haslam,bill-haslam,bill-haslam,2161.697,0,57,truck stops,Fashion and Retail,M,United States,,1448641501521,1900
895,895,Lin Jianhua,Lin,lin-jianhua-1,no-pic,2159.683,-70.79,53,solar panel components,Manufacturing,M,China,,1448641501521,1550
896,896,Tsai Hong-tu,Tsai,tsai-hong-tu-1,tsai-hong-tu-1,2158.884,0,63,finance,Finance,M,Taiwan,,1448641501521,2300
897,897,Robert Pera,Pera,robert-pera,robert-pera,2158.313,18.331,37,wireless networking gear,Technology,M,United States,"Chief Executive Officer, Ubiquiti Networks Inc",1448641501521,1800
898,898,Guenther Lehmann,Lehmann,guenther-lehmann,no-pic,2157.348,0,,drug stores,Retail,M,Germany,,1448641501521,2450
899,899,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2146.61,0,69,steel production,Metals & Mining,M,China,,1448641501521,1650
900,900,Stewart Rahr,Rahr,stewart-rahr,stewart-rahr,2146,0,69,drug distribution,Healthcare,M,United States,,1448641501521,1950
901,901,Guy Laliberte,Laliberte,guy-laliberte,guy-laliberte,2145.776,0,55,Cirque du Soleil,Media,M,Canada,"Cofounder and CEO, Cirque du Soleil",1448641501521,1900
902,902,Bernd Freier,Freier,bernd-freier,bernd-freier,2144.98,0,58,retail,Fashion and Retail,M,Germany,,1448641501521,2300
903,903,John Brown,Brown,john-brown,john-brown,2142.08,16.953,81,medical equipment,Healthcare,M,United States,,1448641501521,2100
904,904,Alec Gores,Gores,alec-gores,alec-gores,2139.364,0,62,private equity,Investments,M,United States,,1448641501521,2100
905,905,George Argyros,Argyros,george-argyros,george-argyros,2139.069,1.413,78,"real estate, investments",Real Estate,M,United States,"Chairman and CEO, Arnel &#38; Affiliates",1448641501521,2000
906,906,Nicolas Puech,Puech,nicolas-puech,nicolas-puech,2135.88,5.481,72,Hermes,Fashion and Retail,M,France,,1448641501521,2000
907,907,Evan Spiegel,Spiegel,evan-spiegel,evan-spiegel,2130,0,25,Snapchat,Technology,M,United States,,1448641501521,1500
908,908,Baba Kalyani,Kalyani,baba-kalyani,baba-kalyani,2124.479,-30.286,66,engineering,Construction & Engineering,M,India,,1448641501521,2600
909,909,Mustafa Rahmi Koc,Koc,mustafa-rahmi-koc,mustafa-rahmi-koc,2121.5,2.772,85,diversified,Diversified,M,Turkey,,1448641501521,2500
910,910,Sulaiman Al Rajhi,Al Rajhi,sulaiman-al-rajhi,sulaiman-al-rajhi,2117.567,0,87,banking,Finance,M,Saudi Arabia,,1448641501521,2100
911,911,John Gandel,Gandel,john-gandel,john-gandel,2116.553,0.717,81,shopping malls,Real Estate,M,Australia,,1448641501521,3600
912,912,Saleh Kamel,Kamel,saleh-kamel,saleh-kamel,2113.241,10.714,74,diversified,Diversified,M,Saudi Arabia,,1448641501521,2800
913,913,Chen Jinxia,Chen,chen-jinxia,no-pic-female,2112.606,-193.343,47,investments,Investments,F,China,,1448641501521,2300
914,914,Stanley Hubbard,Hubbard,stanley-hubbard,stanley-hubbard,2111.565,5.415,82,DirecTV,Media,M,United States,"Chairman and CEO, Hubbard Broadcasting, Inc.",1448641501521,2000
915,915,Yu Awu,Yu,yu-awu,no-pic,2110.632,-3.82,74,jewelry,Manufacturing,M,China,,1448641501521,1050
916,916,Igor Makarov,Makarov,igor-makarov,igor-makarov,2110.212,0,53,gas,Energy,M,Russia,,1448641501521,2100
917,917,Habil Khorakiwala,Khorakiwala,habil-khorakiwala,habil-khorakiwala,2109.947,-24.091,73,pharmaceuticals,Healthcare,M,India,,1448641501521,2100
918,918,Alexandre Soares dos Santos,Soares dos Santos,alexandre-soares-dos-santos,alexandre-soares-dos-santos,2106.209,15.31,81,retail,Fashion and Retail,M,Portugal,,1448641501521,1800
919,919,Gordon Getty,Getty,gordon-getty,gordon-getty,2105,0,81,Getty Oil,Energy,M,United States,"President and Chairman, Ann &#38; Gordon Getty Foundation",1448641501521,2100
920,920,Gerald Ford,Ford,gerald-ford,gerald-ford,2102.853,0.025,71,banking,Investments,M,United States,"Managing Member, Ford Financial Fund",1448641501521,2100
921,921,Lee Seo-Hyun,Lee,lee-seo-hyun,lee-seo-hyun,2100.874,7.373,42,computer services/tourism,Diversified,F,South Korea,,1448641501521,2100
922,922,Jean Claude Gandur,Gandur,jean-claude-gandur,jean-claude-gandur,2100,0,66,"oil trading, exploration",Energy,M,Switzerland,,1448641501521,2100
923,922,S. Daniel Abraham,Abraham,s-daniel-abraham,s-daniel-abraham,2100,0,91,Slim-Fast,Food and Beverage,M,United States,"Chairman, S. Daniel Abraham Center for Middle East Peace",1448641501521,2100
924,924,Wang Zhongjun,Wang,wang-zhongjun,wang-zhongjun,2098.668,-117.9,55,film production,Media,M,China,,1448641501521,1050
925,925,Mikhail Gutseriev,Gutseriev,mikhail-gutseriev,mikhail-gutseriev,2093.149,0,57,"oil, real estate",Energy,M,Russia,,1448641501521,2400
926,926,Daniel Pritzker,Pritzker,daniel-pritzker,daniel-pritzker,2087.711,-1.823,56,"hotels, investments",Service,M,United States,,1448641501521,2200
927,927,Meg Whitman,Whitman,meg-whitman,meg-whitman,2079.676,-22.232,59,eBay,Technology,F,United States,"CEO, Hewlett-Packard",1448641501521,2000
928,928,Indu Jain,Jain,indu-jain,indu-jain,2079.149,0,79,media,Media,F,India,,1448641501521,3000
929,929,Guo Wengui,Guo,guo-wengui,no-pic,2077.221,-171.813,,real estate,Diversified,M,China,,1448641501521,1100
930,930,Paul Singer,Singer,paul-singer,paul-singer,2075,0,70,hedge funds,Investments,M,United States,"Founder, Elliott Management",1448641501521,1900
931,931,Alicia Koplowitz,Koplowitz,alicia-koplowitz,alicia-koplowitz,2074.457,10.4,61,"construction, investments",Investments,F,Spain,,1448641501521,2300
932,932,John Farber,Farber,john-farber,no-pic,2074.151,0.106,90,chemicals,Manufacturing,M,United States,,1448641501521,2200
933,933,Syed Mokhtar AlBukhary,AlBukhary,syed-mokhtar-albukhary,syed-mokhtar-albukhary,2074.057,-27.059,63,diversified,Diversified,M,Malaysia,,1448641501521,2900
934,934,Liu Shaoxi,Liu,liu-shaoxi,liu-shaoxi,2070.193,593.293,51,real estate,Real Estate,M,China,,1448641501521,1150
935,935,Sunny Varkey,Varkey,sunny-varkey,sunny-varkey,2069.032,0,58,education,Service,M,India,,1448641501521,2000
936,936,Dan Snyder,Snyder,dan-snyder,dan-snyder,2068.8,0,51,Washington Redskins,Sports,M,United States,,1448641501521,1700
937,937,Chandru Raheja,Raheja,chandru-raheja,chandru-raheja,2067.314,4.984,75,real estate,Real Estate,M,India,,1448641501521,2200
938,938,Mangal Prabhat Lodha,Lodha,mangal-prabhat-lodha,mangal-prabhat-lodha,2066.367,0,59,real estate,Real Estate,M,India,,1448641501521,3400
939,939,Zhang Changhong,Zhang,zhang-changhong,zhang-changhong,2065.077,-302.885,57,finance information service,Finance,M,China,,1448641501521,3500
940,940,Mitchell Goldhar,Goldhar,mitchell-goldhar-1,mitchell-goldhar-1,2062.086,-3.442,54,real estate,Real Estate,M,Canada,"Owner, SmartCentres",1448641501521,2200
941,941,T.Y. Tsai,Tsai,ty-tsai,ty-tsai,2059.747,0,,finance,Finance,M,Taiwan,,1448641501521,2100
942,942,Rajan Raheja,Raheja,rajan-raheja,rajan-raheja,2059.357,15.144,61,diversified,Diversified,M,India,,1448641501521,2600
943,943,Vincent Viola,Viola,vincent-viola,vincent-viola,2058.99,1.535,59,electronic trading,Finance,M,United States,,1448641501521,1700
944,944,Dinara Kulibaeva,Kulibaeva,dinara-kulibaeva,dinara-kulibaeva,2056.469,9.408,48,banking,Finance,F,Kazakhstan,,1448641501521,2100
945,944,Timur Kulibaev,Kulibaev,timur-kulibaev,timur-kulibaev,2056.469,9.408,49,banking,Finance,M,Kazakhstan,,1448641501521,2100
946,946,Maria Helena Moraes Scripilliti,Moraes Scripilliti,maria-helena-moraes-scripilliti,no-pic-female,2052.905,-2.131,85,diversified,Diversified,F,Brazil,,1448641501521,2500
947,947,Sarik Tara,Tara,sarik-tara,sarik-tara,2051.533,-28.963,85,construction,Construction & Engineering,M,Turkey,,1448641501521,2400
948,948,Alvaro Saieh Bendeck,Saieh Bendeck,alvaro-saieh-bendeck,alvaro-saieh-bendeck,2049.903,-4.07,65,banking,Finance,M,Chile,,1448641501521,2500
949,949,Jon Stryker,Stryker,jon-stryker,jon-stryker,2035.711,14.458,57,medical equipment,Healthcare,M,United States,,1448641501521,2000
950,950,Andre Esteves,Esteves,andre-esteves,andre-esteves,2033.74,-73.461,47,banking,Finance,M,Brazil,,1448641501521,2900
951,951,Lachhman Das Mittal,Mittal,lachhman-das-mittal,lachhman-das-mittal,2033.287,0,85,tractors,Automotive,M,India,,1448641501521,1500
952,952,Othman Benjelloun,Benjelloun,othman-benjelloun,othman-benjelloun,2031.159,0,83,"banking, insurance",Finance,M,Morocco,,1448641501521,2300
953,953,Aras Agalarov,Agalarov,aras-agalarov,aras-agalarov,2031.035,0,60,real estate,Fashion and Retail,M,Russia,,1448641501521,1900
954,954,Timothy Headington,Headington,timothy-headington,timothy-headington,2030.515,0,65,"oil & gas, investments",Energy,M,United States,,1448641501521,2400
955,955,Torbjorn Tornqvist,Tornqvist,torbjorn-tornqvist,torbjorn-tornqvist,2030,0,62,oil trading,Oil,M,Sweden,,1448641501521,2000
956,956,Jeffrey Lorberbaum,Lorberbaum,jeffrey-lorberbaum,jeffrey-lorberbaum,2029.644,1.355,61,flooring,Manufacturing,M,United States,,1448641501521,1800
957,957,Jonathan Nelson,Nelson,jonathan-nelson,jonathan-nelson,2029,0,59,private equity,Investments,M,United States,"Chief executive officer, Providence Equity Partners",1448641501521,2100
958,958,Wong Luen Hei,Wong,wong-luen-hei,wong-luen-hei,2026.852,-57.41,53,home building materials,Manufacturing,M,China,,1448641501521,1300
959,959,Tian Ming,Tian,tian-ming,no-pic,2026.393,-277.971,61,measuring instruments,Technology,M,China,,1448641501521,1600
960,960,Ajay Piramal,Piramal,ajay-piramal,ajay-piramal,2025.3,-27.457,60,pharmaceuticals,Healthcare,M,India,,1448641501521,2000
961,961,Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,2015.236,2.086,45,cosmetics,Fashion and Retail,F,United States,,1448641501521,1400
962,962,Or Wai Sheun,Or,or-wai-sheun,or-wai-sheun,2011.329,-8.578,64,real estate,Real Estate,M,Hong Kong,,1448641501521,2000
963,963,Zhu Xingliang,Zhu,zhu-xingliang,zhu-xingliang,2007.006,-256.619,56,construction,Construction & Engineering,M,China,,1448641501521,3200
964,964,William Koch,Koch,william-koch,william-koch,2004.588,0,75,"oil, investments",Energy,M,United States,,1448641501521,3000
965,965,Huang Li,Huang,huang-li-1,huang-li-1,2000.912,-186.808,52,infrared imaging systems,Technology,M,China,,1448641501521,1550
966,966,Bruce Karsh,Karsh,bruce-karsh,bruce-karsh,2000.104,-1.176,60,private equity,Investments,M,United States,"President, Oaktree Capital Group LLC",1448641501521,2100
967,967,Georg von Opel,von Opel,georg-von-opel,georg-von-opel,2000,0,49,real estate/investments,Investments,M,Germany,,1448641501521,2000
968,967,Glenn Dubin,Dubin,glenn-dubin,glenn-dubin,2000,0,58,hedge funds,Investments,M,United States,"Co-Founder, Highbridge Capital Management",1448641501521,2000
969,967,Thomas Lee,Lee,thomas-lee,thomas-lee,2000,0,71,leveraged buyouts,Investments,M,United States,,1448641501521,2000
970,970,Francesco Gaetano Caltagirone,Caltagirone,francesco-gaetano-caltagirone,francesco-gaetano-caltagirone,1993.845,4.035,72,"cement, diversified",Construction & Engineering,M,Italy,,1448641501521,2100
971,971,Liang Yunchao,Liang,liang-yunchao,liang-yunchao,1991.983,-175.726,46,nutrition supplements,Food and Beverage,M,China,,1448641501521,1950
972,972,Bill Gross,Gross,bill-gross,bill-gross,1990,0,71,investments,Finance,M,United States,"Cofounder and Co-Chief Investment Officer, Pacific Investment Management Company LLC",1448641501521,2300
973,973,Mohamed Al Fayed,Al Fayed,mohamed-al-fayed,mohamed-al-fayed,1988.948,0,86,"retail, investments",Fashion and Retail,M,Egypt,,1448641501521,2000
974,974,Li Liufa,Li,li-liufa,li-liufa,1986.294,-19.367,58,"steel, diversified",Diversified,M,China,,1448641501521,2100
975,975,Farhad Moshiri,Moshiri,farhad-moshiri,farhad-moshiri,1986.184,-6.732,60,diversified,Diversified,M,United Kingdom,,1448641501521,2100
976,976,David Walentas,Walentas,david-walentas,david-walentas,1985.392,0,77,real estate,Real Estate,M,United States,,1448641501521,1800
977,977,Thomas Secunda,Secunda,thomas-secunda,thomas-secunda,1982.836,0,61,Bloomberg LP,Media,M,United States,,1448641501521,1800
978,978,Rakesh Jhunjhunwala,Jhunjhunwala,rakesh-jhunjhunwala,rakesh-jhunjhunwala,1982.777,-0.588,55,investments,Investments,M,India,,1448641501521,2100
979,979,James France,France,james-france,james-france,1979.29,0.622,71,"Nascar, racing",Sports,M,United States,,1448641501521,2100
980,980,Scott Cook,Cook,scott-cook,scott-cook,1974.224,5.172,63,software,Technology,M,United States,,1448641501521,1900
981,981,Henry Nicholas III,Nicholas,henry-nicholas-iii,henry-nicholas-iii,1971.827,7.341,56,semiconductors,Technology,M,United States,"Cofounder, Broadcom",1448641501521,1700
982,982,Tahir,Tahir,tahir,tahir,1968.466,-0.318,63,diversified,Diversified,M,Indonesia,,1448641501521,1750
983,983,Xu Jingren,Xu,xu-jingren,xu-jingren,1967.864,0,71,pharmaceuticals,Healthcare,M,China,,1448641501521,1350
984,984,Vichai Srivaddhanaprabha,Srivaddhanaprabha,vichai-srivaddhanaprabha,vichai-srivaddhanaprabha,1964.097,-0.975,57,duty-free,Retail,M,Thailand,,1448641501521,2600
985,985,Norman Braman,Braman,norman-braman,norman-braman,1960.489,0,83,"art, car dealerships",Automotive,M,United States,,1448641501521,1900
986,986,Edward Bass,Bass,edward-bass,edward-bass,1960,0,70,"oil, investments",Energy,M,United States,,1448641501521,2000
987,986,Lee Bass,Bass,lee-bass,lee-bass,1960,0,59,"oil, investments",Energy,M,United States,,1448641501521,2000
988,988,Takao Yasuda,Yasuda,takao-yasuda,takao-yasuda,1959.454,-25.912,66,retail,Fashion and Retail,M,Japan,,1448641501521,1750
989,989,Nelson Peltz,Peltz,nelson-peltz,nelson-peltz,1959.432,0.168,73,investments,Investments,M,United States,"Founder, Trian Fund Management",1448641501521,1900
990,990,Chip Wilson,Wilson,chip-wilson,chip-wilson,1957.082,-12.663,58,Lululemon,Fashion and Retail,M,Canada,"Chairman, LULULEMON ATHLETICA INC",1448641501521,2200
991,991,Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1956.286,0.235,61,real estate,Real Estate,M,China,,1448641501521,2000
992,992,Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,1955.543,6.079,65,shoes,Fashion and Retail,M,Brazil,,1448641501521,2500
993,993,Richard Yuengling Jr,Yuengling,richard-yuengling-jr,richard-yuengling-jr,1953.207,0,72,beer,Food and Beverage,M,United States,,1448641501521,1750
994,994,Bernardo Caprotti,Caprotti,bernardo-caprotti,bernardo-caprotti,1952.581,0,90,grocery stores,Food and Beverage,M,Italy,,1448641501521,2200
995,995,Huang Zhenda,Huang,huang-zhenda,huang-zhenda,1947.528,0,68,construction,Construction & Engineering,M,China,,1448641501521,1650
996,996,Mark Stevens,Stevens,mark-stevens,mark-stevens,1936.492,2.274,55,venture capital,Investments,M,United States,,1448641501521,1700
997,997,Ding Shizhong,Ding,ding-shizhong,ding-shizhong,1936.44,-26.164,44,sports apparel,Fashion and Retail,M,China,,1448641501521,1350
998,998,Mario Moretti Polegato,Moretti Polegato,mario-moretti-polegato,mario-moretti-polegato,1936.162,1.954,63,shoes,Fashion and Retail,M,Italy,,1448641501521,1850
999,999,Pierre Chen,Chen,pierre-chen,pierre-chen,1932.471,4.306,57,"art, electronics",Diversified,M,Taiwan,,1448641501521,2000
1000,1000,Jurgen Blickle,Blickle,jurgen-blickle,jurgen-blickle,1930.858,0,68,auto parts,Manufacturing,M,Germany,,1448641501521,1900
1001,1001,Yusaku Maezawa,Maezawa,yusaku-maezawa,yusaku-maezawa,1930.022,27.481,40,online retail,Technology,M,Japan,,1448641501521,1300
1002,1002,Zheng Yuewen,Zheng,zheng-yuewen,zheng-yuewen,1929,-200.559,53,investments,Diversified,M,China,,1448641501521,1200
1003,1003,Sandro Veronesi,Veronesi,sandro-veronesi,sandro-veronesi,1925.997,0,56,fashion retailer,Fashion and Retail,M,Italy,,1448641501521,2000
1004,1004,Tsai Cheng-da,Tsai,tsai-cheng-da,no-pic,1925.715,0,,finance,Finance,M,Taiwan,,1448641501521,2100
1005,1005,Michael Hintze,Hintze,michael-hintze,michael-hintze,1923,0,62,investment,Finance,M,Australia,"Founder, CQS LLP",1448641501521,1900
1006,1006,Howard Marks,Marks,howard-marks,howard-marks,1922.92,-1.16,69,private equity,Investments,M,United States,"Chairman, Oaktree Capital Group LLC",1448641501521,2100
1007,1007,Ding Shijia,Ding,ding-shijia,no-pic,1922.218,-25.343,51,sportswear,Fashion and Retail,M,China,,1448641501521,1300
1008,1008,Kavitark Ram Shriram,Shriram,kavitark-ram-shriram,kavitark-ram-shriram,1921.671,0.521,58,"venture capital, Google",Technology,M,United States,"Managing Partner, Sherpalo Ventures",1448641501521,1900
1009,1009,Suna Kirac,Kirac,suna-kirac,suna-kirac,1921.391,2.033,74,diversified,Diversified,F,Turkey,,1448641501521,2200
1010,1010,Jiang Zhaobai,Jiang,jiang-zhaobai,jiang-zhaobai,1919.815,6.178,52,real estate,Real Estate,M,China,,1448641501521,1700
1011,1011,Helmut Sohmen,Sohmen,helmut-sohmen,helmut-sohmen,1918.91,-0.264,75,shipping,Logistics,M,Austria,,1448641501521,2100
1012,1012,Wang Zhenghua,Wang,wang-zhenghua,wang-zhenghua,1918.479,-98.364,71,budget airline,Service,M,China,,1448641501521,1200
1013,1013,Vasily Anisimov,Anisimov,vasily-anisimov,vasily-anisimov,1915.184,0,64,"metals, real estate",Metals & Mining,M,Russia,,1448641501521,2000
1014,1014,Eduardo Eurnekian,Eurnekian,eduardo-eurnekian,eduardo-eurnekian,1913.26,0,82,"airports, investments",Diversified,M,Argentina,,1448641501521,1900
1015,1015,Manuel Moroun,Moroun,manuel-moroun,manuel-moroun,1912.695,1.865,88,transportation,Logistics,M,United States,,1448641501521,1900
1016,1016,Peter Lim,Lim,peter-lim,peter-lim,1912.563,-9.551,62,investments,Investments,M,Singapore,,1448641501521,2000
1017,1017,Hu Kaijun,Hu,hu-kaijun,no-pic,1911.396,307.141,53,pharmaceuticals,Healthcare,M,China,,1448641501521,1300
1018,1018,Wang Laisheng,Wang,wang-laisheng,no-pic,1907.626,0,50,electronics components,Technology,M,China,,1448641501521,1300
1019,1019,Wang Laichun,Wang,wang-laichun,no-pic-female,1906.873,0,48,electronics components,Technology,F,China,,1448641501521,1300
1020,1020,Wang Jianfeng,Wang,wang-jianfeng,no-pic,1902.625,0,45,auto parts,Automotive,M,China,,1448641501521,1000
1021,1021,Glen Taylor,Taylor,glen-taylor,glen-taylor,1902.262,0,74,printing,Service,M,United States,,1448641501521,2400
1022,1022,Marc Lasry,Lasry,marc-lasry,marc-lasry,1900,0,55,hedge funds,Investments,M,United States,"Founder, Avenue Capital Group",1448641501521,1900
1023,1023,Hans Georg Naeder,Naeder,hans-georg-naeder,hans-georg-naeder,1898.855,0,54,prosthetics,Manufacturing,M,Germany,,1448641501521,2000
1024,1024,Leonard Schleifer,Schleifer,leonard-schleifer,leonard-schleifer,1897.557,0.513,63,pharmaceuticals,Healthcare,M,United States,"CEO and Founder, Regeneron Pharmaceuticals",1448641501521,1300
1025,1025,N.R. Narayana Murthy,Murthy,nr-narayana-murthy,nr-narayana-murthy,1895.321,30.119,69,software services,Technology,M,India,,1448641501521,2100
1026,1026,Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,1892.846,0,76,shoes,Fashion and Retail,M,Canada,,1448641501521,1700
1027,1027,Wim Van Der Leegte,Van Der Leegte,wim-van-der-leegte,wim-van-der-leegte,1887.671,0,68,manufacturing,Manufacturing,M,Netherlands,,1448641501521,2100
1028,1028,Manuel Jove,Jove,manuel-jove,manuel-jove,1884.987,2.502,74,real estate,Real Estate,M,Spain,,1448641501521,2000
1029,1029,Marius Nacht,Nacht,marius-nacht,marius-nacht,1882.808,10.607,49,software,Technology,M,Israel,,1448641501521,1800
1030,1030,Shao Genhuo,Shao,shao-genhuo,shao-genhuo,1880.856,-225.992,50,agribusiness,Food and Beverage,M,China,,1448641501521,2000
1031,1031,James Clark,Clark,james-clark,james-clark,1877.088,-0.506,71,"Netscape, investments",Technology,M,United States,"Cofounder, Netscape Communications Corporation",1448641501521,1550
1032,1032,Esther Grether,Grether,esther-grether,no-pic-female,1876.011,3.916,79,"art collection, Swatch",Fashion and Retail,F,Switzerland,,1448641501521,2100
1033,1033,Peter Spuhler,Spuhler,peter-spuhler-1,peter-spuhler-1,1875.904,0,56,manufacturing,Manufacturing,M,Switzerland,,1448641501521,2200
1034,1034,Koo Bon-Moo,Koo,koo-bon-moo,koo-bon-moo,1875.544,45.443,70,electronics/chemicals/household products,Technology,M,South Korea,,1448641501521,1650
1035,1035,Roberto Hernandez Ramirez,Hernandez Ramirez,roberto-hernandez-ramirez,roberto-hernandez-ramirez,1874.435,2.072,73,banking,Finance,M,Mexico,,1448641501521,1800
1036,1036,Joseph Grendys,Grendys,joseph-grendys,joseph-grendys,1871.874,0,53,meat processing,Food and Beverage,M,United States,,1448641501521,1900
1037,1037,William Fung,Fung,william-fung,william-fung,1870.076,-55.176,66,sourcing,Fashion and Retail,M,Hong Kong,,1448641501521,2200
1038,1038,Sanford Diller,Diller,sanford-diller,no-pic,1864.51,0,87,real estate,Real Estate,M,United States,,1448641501521,1300
1039,1039,Peter Sondakh,Sondakh,peter-sondakh,peter-sondakh,1860.9,0.475,65,investments,Investments,M,Indonesia,,1448641501521,2300
1040,1040,Huang Hongyun,Huang,huang-hongyun,huang-hongyun,1859.542,-121.962,49,real estate,Real Estate,M,China,,1448641501521,1700
1041,1041,Ronald Wanek,Wanek,ronald-wanek,ronald-wanek,1858.973,0,74,furniture,Manufacturing,M,United States,,1448641501521,2000
1042,1042,Carlos Sanchez,Sanchez,carlos-sanchez,carlos-sanchez,1858.863,0,53,generic drugs,Medicine,M,Brazil,,1448641501521,2500
1043,1043,Bill Adderley,Adderley,bill-adderley,no-pic,1857.196,-0.829,67,home furnishings,Fashion and Retail,M,United Kingdom,,1448641501521,1800
1044,1044,Murdaya Poo,Poo,murdaya-poo,murdaya-poo,1852.905,0,74,diversified,Diversified,M,Indonesia,,1448641501521,1700
1045,1045,Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,1852.525,29.614,75,automotive brakes,Automotive,M,Italy,,1448641501521,1500
1046,1046,Roger Penske,Penske,roger-penske,roger-penske,1852.106,5.158,78,cars,Automotive,M,United States,,1448641501521,1300
1047,1047,Amy Wyss,Wyss,amy-wyss,amy-wyss,1850,0,44,medical equipment,Healthcare,F,United States,,1448641501521,1850
1048,1047,David Nahmad,Nahmad,david-nahmad,david-nahmad,1850,0,68,art,Fashion and Retail,M,Monaco,,1448641501521,1850
1049,1049,Jeff Rothschild,Rothschild,jeff-rothschild,jeff-rothschild,1849.221,-3.42,60,Facebook,Technology,M,United States,"Advisor, Facebook",1448641501521,1400
1050,1050,Linda Pritzker,Pritzker,linda-pritzker,linda-pritzker,1849,0,61,"hotels, investments",Service,F,United States,,1448641501521,1800
1051,1051,Vincent Lo,Lo,vincent-lo,vincent-lo,1844.135,-70.691,66,real estate,Real Estate,M,Hong Kong,,1448641501521,1700
1052,1052,Edgar de Picciotto,de Picciotto,edgar-de-picciotto,edgar-de-picciotto,1844.103,0,86,private banking,Business,M,Switzerland,,1448641501521,2200
1053,1053,David Hains,Hains,david-hains,david-hains,1844.084,0,85,finance,Finance,M,Australia,,1448641501521,2000
1054,1054,Huo Qinghua,Huo,huo-qinghua,no-pic,1843.268,0,54,coal,Energy,M,China,,1448641501521,2300
1055,1055,Hamilton James,James,hamilton-james,hamilton-james,1831.56,-4.305,64,investments,Investments,M,United States,,1448641501521,1900
1056,1056,Yuri Shefler,Shefler,yuri-shefler,yuri-shefler,1831.052,0,48,alcohol,Food and Beverage,M,Russia,,1448641501521,1750
1057,1057,Ranjan Pai,Pai,ranjan-pai,ranjan-pai,1829.977,0,43,education,Service,M,India,,1448641501521,1700
1058,1058,Vladimir Bogdanov,Bogdanov,vladimir-bogdanov,vladimir-bogdanov,1828.329,-48.222,64,oil,Energy,M,Russia,,1448641501521,2000
1059,1059,Gu Wei,Gu,gu-wei,no-pic,1828.168,-138.687,50,consumer electronics,Manufacturing,M,China,,1448641501521,1300
1060,1060,Joop van den Ende,van den Ende,joop-van-den-ende,joop-van-den-ende,1827.719,0,73,TV,Media,M,Netherlands,,1448641501521,1600
1061,1061,Victor Fung,Fung,victor-fung,victor-fung,1824.412,-54.206,70,trading company,Logistics,M,United States,,1448641501521,2200
1062,1062,Ruan Shuilong,Ruan,ruan-shuilong,no-pic,1824.208,170.58,79,chemicals,Manufacturing,M,China,,1448641501521,1850
1063,1063,Carlos Rodriguez-Pastor,Rodriguez-Pastor,carlos-rodriguez-pastor,carlos-rodriguez-pastor,1820.266,3.035,56,finance,Finance,M,Peru,,1448641501521,2100
1064,1064,Carlo Fidani,Fidani,carlo-fidani,carlo-fidani,1817.636,0,60,real estate,Real Estate,M,Canada,"Chairman, Orlando Corporation",1448641501521,1900
1065,1065,Edson de Godoy Bueno,de Godoy Bueno,edson-de-godoy-bueno,edson-de-godoy-bueno,1813.041,-4.033,72,"hospitals, health care",Healthcare,M,Brazil,,1448641501521,2400
1066,1066,Lorenzo Fertitta,Fertitta,lorenzo-fertitta,lorenzo-fertitta,1812.961,0,46,"casinos, Ultimate Fighting Championship",Sports,M,United States,,1448641501521,1500
1067,1067,Louis Bacon,Bacon,louis-bacon,louis-bacon,1810,0,57,hedge funds,Investments,M,United States,"Founder, Moore Capital Management, LP",1448641501521,1700
1068,1068,Ferit Faik Sahenk,Sahenk,ferit-faik-sahenk,ferit-faik-sahenk,1809.309,-24.661,51,"banking, media",Finance,M,Turkey,,1448641501521,2500
1069,1069,Arturo Moreno,Moreno,arturo-moreno,arturo-moreno,1808.088,-1.486,69,billboards,Sports,M,United States,,1448641501521,1500
1070,1070,Phillip Ragon,Ragon,phillip-ragon,phillip-ragon,1804.532,0,66,health IT,Technology,M,United States,,1448641501521,1600
1071,1071,Frank Fertitta III,Fertitta,frank-fertitta-iii,frank-fertitta-iii,1803.599,0,53,"casinos, Ultimate Fighting Championship",Sports,M,United States,,1448641501521,1500
1072,1072,Geng Jianming,Geng,geng-jianming,geng-jianming,1802.187,-199.593,53,real estate,Real Estate,M,China,,1448641501521,1500
1073,1073,Bobby Murphy,Murphy,bobby-murphy,bobby-murphy,1800,0,27,Snapchat,Technology,M,United States,,1448641501521,1500
1074,1073,Kenneth Feld,Feld,kenneth-feld,kenneth-feld,1800,0,67,"circus, live entertainment",Media,M,United States,"Chairman, Feld Entertainment",1448641501521,1800
1075,1075,Florentino Perez,Perez,florentino-perez,florentino-perez,1797.293,8.981,68,construction,Construction & Engineering,M,Spain,,1448641501521,2000
